name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,shirtNumber,dateOfBirthTimestamp,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.primaryUniqueTournament.name,team.primaryUniqueTournament.slug,team.primaryUniqueTournament.primaryColorHex,team.primaryUniqueTournament.secondaryColorHex,team.primaryUniqueTournament.category.name,team.primaryUniqueTournament.category.slug,team.primaryUniqueTournament.category.sport.name,team.primaryUniqueTournament.category.sport.slug,team.primaryUniqueTournament.category.sport.id,team.primaryUniqueTournament.category.id,team.primaryUniqueTournament.category.flag,team.primaryUniqueTournament.category.alpha2,team.primaryUniqueTournament.userCount,team.primaryUniqueTournament.id,team.primaryUniqueTournament.displayInverseHomeAwayTeams,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,country.alpha2,country.name,preferredFoot,contractUntilTimestamp,proposedMarketValue,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,retired,deceased,gender
Santiago Rojas,,,santiago-rojas,S. Rojas,G,30,185.0,73,871581,30.0,828662400.0,Tigre,tigre,Tigre,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,12742,TIG,False,False,0,7628,AR,Argentina,#000099,#ff0000,#ff0000,PY,Paraguay,Both,1703980800.0,1300000.0,1300000.0,EUR,,,
Nicolás de la Cruz,,,nicolas-de-la-cruz,N. de la Cruz,M,11,167.0,2425,877513,11.0,865123200.0,River Plate,river-plate,River,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,97384,RIV,False,False,0,3211,AR,Argentina,#ffffff,#ff0000,#ff0000,UY,Uruguay,Right,1767139200.0,10200000.0,10200000.0,EUR,False,False,
Gianluca Ferrari,,,gianluca-ferrari,G. Ferrari,D,22,181.0,55,945103,22.0,867628800.0,Godoy Cruz,godoy-cruz,Godoy Cruz,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,12549,GOD,,False,0,6074,AR,Argentina,#002593,#ffffff,#ffffff,AR,Argentina,Right,1703980800.0,775000.0,775000.0,EUR,,,
Luciano Lollo,,,luciano-lollo,L. Lollo,D,26,184.0,39,249009,26.0,543974400.0,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,19854,ELP,False,False,0,3206,AR,Argentina,#ff0000,#ffffff,#ffffff,AR,Argentina,Right,1703980800.0,240000.0,240000.0,EUR,,,
Lucas Beltrán,,,lucas-beltran,L. Beltrán,F,9,174.0,2811,962029,9.0,993254400.0,Fiorentina,fiorentina,Fiorentina,M,Football,football,1,Serie A,serie-a,#09519e,#008fd7,Italy,italy,Football,football,1.0,31.0,italy,IT,736696.0,23.0,False,141813,ACF,False,False,0,2693,IT,Italy,#542baa,#ffffff,#ffffff,AR,Argentina,Right,1845936000.0,12500000.0,12500000.0,EUR,False,,
Lucas Villalba,,,lucas-villalba,L. Villalba,D,6,177.0,144,260077,6.0,777254400.0,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,17737,ARG,False,False,0,3216,AR,Argentina,#cc0000,#ffffff,#ffffff,AR,Argentina,Left,1735603200.0,2100000.0,2100000.0,EUR,,,
Paulo Díaz,,,paulo-diaz,P. Díaz,D,17,180.0,1023,790004,17.0,777772800.0,River Plate,river-plate,River,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,97384,RIV,False,False,0,3211,AR,Argentina,#ffffff,#ff0000,#ff0000,CL,Chile,Right,1735603200.0,4300000.0,4300000.0,EUR,,,
Nacho Fernández,,,nacho-fernandez,I. Fernández,M,26,182.0,1312,340861,26.0,632102400.0,River Plate,river-plate,River,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,97384,RIV,False,False,0,3211,AR,Argentina,#ffffff,#ff0000,#ff0000,AR,Argentina,Left,1767139200.0,2100000.0,2100000.0,EUR,False,,
Joaquín Pereyra,,,joaquin-pereyra,J. Pereyra,M,10,181.0,300,832213,10.0,912470400.0,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,13098,CAT,False,False,0,36833,AR,Argentina,#ffffff,#33ccff,#33ccff,AR,Argentina,Left,1767139200.0,4099999.0,4099999.0,EUR,,,
Ian Glavinovich,,,glavinovich-ian,I. Glavinovich,D,37,,25,1384966,37.0,1004140800.0,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,14700,NOB,False,False,0,3212,AR,Argentina,#ff0000,#000000,#000000,AR,Argentina,,,,,,False,,M
