yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
2,0,38,5,0,0.0,0,1,0,0,0,1,0.0,0.0,0,7.7,Danilo Fernandes,danilo-fernandes,135,145054,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,2,90,18,0,66.67,0,1,0,2,0,1,0.0,66.67,0,7.6,Pedro Morisco,pedro-morisco,16,1507616,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
1,5,810,66,0,83.33,3,9,4,9,0,9,100.0,90.0,0,7.5,John,john,237,840103,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
5,13,2291,385,0,38.24,58,29,108,121,31,28,54.0,51.71,21,7.49,Raphael Veiga,raphael-veiga,7424,840020,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
7,44,2766,620,2,41.51,111,32,215,259,52,31,48.64,47.26,100,7.45,Hulk,hulk,9558,34705,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,2,180,21,0,100.0,0,2,0,2,0,2,0.0,100.0,0,7.45,Caíque,caique,154,839514,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,9,270,18,1,56.25,0,3,2,11,3,3,40.0,52.38,0,7.33,Eduardo Bauermann,eduardo-bauermann,211,358530,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
1,0,180,35,0,0.0,1,2,1,1,0,2,100.0,100.0,0,7.3,Adriel,adriel,207,1106840,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
2,0,450,56,0,0.0,0,5,0,0,0,5,0.0,0.0,0,7.3,Léo Linck,leo-linck,112,1119887,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,5,1085,181,0,50.0,40,14,86,91,9,14,65.15,64.08,11,7.29,Dudu,dudu,4022,147464,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
8,25,2712,465,0,40.98,70,31,108,133,28,31,46.75,45.55,34,7.27,Luis Suárez,luis-suarez,67176,16943,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,1,270,28,0,50.0,0,3,0,1,0,3,0.0,50.0,0,7.27,Marcelo Lomba,marcelo-lomba,486,34141,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
10,78,2364,353,0,52.7,83,31,134,212,47,29,51.15,51.71,57,7.26,Tiquinho Soares,tiquinho-soares,4253,789100,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
3,14,1671,361,0,43.75,39,26,106,120,22,20,53.81,52.4,36,7.24,Giorgian De Arrascaeta,giorgian-de-arrascaeta,15068,333587,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
1,54,1540,124,1,63.53,12,18,42,96,5,17,80.77,70.07,1,7.21,Robert Arboleda,robert-arboleda,1472,338937,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
1,3,1170,105,0,75.0,1,13,1,4,0,13,100.0,80.0,0,7.21,Agustín Rossi,agustin-rossi,1358,1140986,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
1,3,1590,150,0,100.0,4,19,3,6,0,18,100.0,100.0,0,7.21,Matheus Cunha,matheus-cunha,1562,1105835,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
7,19,1964,353,0,34.55,32,30,80,99,19,23,49.38,45.62,32,7.2,Vitor Bueno,vitor-bueno,617,808785,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
2,1,90,4,1,100.0,0,1,0,1,0,1,0.0,100.0,0,7.2,Anderson,anderson,114,942061,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,1,90,3,0,100.0,0,1,0,1,0,1,0.0,100.0,0,7.2,Mauricio Kozlinski,mauricio-kozlinski,55,879859,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
2,1,180,26,0,100.0,0,2,0,1,0,2,0.0,100.0,0,7.2,Matheus Mendes,matheus-mendes,137,1018555,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
1,7,371,58,0,58.33,3,6,20,27,2,5,40.0,43.55,7,7.18,Moisés,moises,417,1046501,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
3,11,804,97,0,42.31,11,10,38,49,10,9,55.07,51.58,10,7.17,Alef Manga,manga-alef,501,954719,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
2,99,1614,185,1,50.51,40,19,51,150,30,18,45.95,48.86,18,7.17,Pablo Vegetti,pablo-vegetti,2050,583974,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
4,49,1215,84,0,63.64,3,14,24,73,14,14,58.54,61.86,0,7.16,Lucas Veríssimo,lucas-verissimo,1928,826343,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
6,67,2550,489,0,46.53,69,31,147,214,37,30,51.22,49.65,48,7.15,Lucas Evangelista,lucas-evangelista,519,331397,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
1,24,2822,353,0,43.64,23,34,109,133,19,33,49.32,48.19,32,7.15,Paulinho,paulinho,4253,885179,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
10,61,2226,227,1,59.8,17,27,61,122,25,25,60.4,60.1,6,7.15,Mauricio Lemos,mauricio-lemos,549,385916,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
2,19,1549,239,0,45.24,22,22,88,107,21,19,59.86,56.61,22,7.15,Lucas Silva,lucas-silva,524,245159,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
11,56,2811,574,0,51.85,59,33,147,203,66,32,48.04,49.03,19,7.14,Juninho Capixaba,juninho-capixaba,549,870556,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,2,461,38,0,100.0,0,6,1,3,0,5,100.0,100.0,0,7.13,Fernando Miguel,fernando-miguel,202,358418,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
7,28,3037,559,0,42.42,35,34,163,191,38,34,58.63,55.52,21,7.13,Marlon,marlon,537,870787,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
5,8,2790,314,1,80.0,6,31,7,15,1,31,77.78,78.95,0,7.13,Cleiton,cleiton,343,844576,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
6,58,1352,170,0,51.33,36,19,51,109,37,15,41.13,45.99,18,7.13,Jonathan Calleri,jonathan-calleri,4579,340519,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
6,5,3060,302,0,100.0,9,34,7,12,0,34,100.0,100.0,0,7.12,Éverson,everson,602,870748,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
5,56,1819,170,0,70.0,17,23,36,92,29,21,49.32,60.13,2,7.12,Luan,luan,687,250351,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
3,50,1424,172,0,74.63,6,18,25,75,11,17,55.56,66.96,4,7.12,Léo Ortiz,leo-ortiz,542,869643,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
5,60,2559,282,0,75.95,24,31,78,138,23,31,60.0,66.03,6,7.12,Léo Pereira,leo-pereira,1519,358548,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
8,43,2880,253,0,60.56,16,32,62,105,13,32,73.81,67.74,2,7.12,Fabrício Bruno,fabricio-bruno,1268,840220,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
6,14,2340,338,0,34.15,16,31,84,98,34,26,52.83,49.0,16,7.12,Mayke,mayke,845,273329,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
3,14,2970,111,0,93.33,2,33,0,14,0,33,0.0,93.33,0,7.12,Fábio,fabio,808,17785,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
5,17,2297,486,1,35.42,72,28,202,219,40,25,52.6,50.69,59,7.11,Jhon Arias,jhon-arias,2133,844096,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,8,3150,332,0,100.0,3,35,5,13,0,35,62.5,81.25,0,7.11,Marcos Felipe,marcos-felipe,258,358524,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
1,4,1089,198,0,50.0,10,18,57,61,18,13,60.0,59.22,3,7.11,Marcos Rocha,marcos-rocha,906,82576,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
1,9,3195,358,0,81.82,4,36,2,11,0,36,66.67,78.57,0,7.11,Lucas Perri,lucas-perri,1386,871290,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
4,8,2373,495,0,40.0,25,30,118,126,22,28,47.01,46.49,56,7.11,Cauly,cauly,824,255873,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,7,859,113,0,63.64,20,15,79,86,11,9,67.52,67.19,5,7.11,Adson,adson,1048,1105970,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
3,23,1347,182,0,60.53,42,15,63,86,10,15,59.43,59.72,13,7.11,Róger Guedes,roger-guedes,5993,777341,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,4,135,21,0,66.67,0,2,0,4,2,1,0.0,50.0,0,7.1,Maurício Antônio,mauricio-antonio,33,583824,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
0,0,90,13,0,0.0,0,1,2,2,0,1,50.0,33.33,0,7.1,Felipe Jonatan,felipe-jonatan,325,931574,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
1,0,76,3,0,0.0,0,1,1,1,4,1,20.0,20.0,0,7.1,Cipriano,cipriano,30,1111123,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
3,28,1121,102,0,71.79,6,15,26,54,8,12,65.0,68.35,1,7.09,Maicon,maicon,505,44691,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
5,134,2640,350,0,69.43,21,30,89,223,25,30,66.92,68.4,3,7.08,Joaquim,joaquim,372,1047740,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
3,3,3150,244,0,100.0,5,35,4,7,1,35,66.67,77.78,0,7.08,Rafael Cabral,rafael-cabral,351,124980,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
1,9,1557,257,0,33.33,56,19,106,115,13,18,56.08,53.24,28,7.08,Bitello,bitello,1412,1106839,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
3,31,1166,145,0,62.0,4,13,29,60,13,13,52.73,57.14,3,7.08,Murillo,murillo,1442,1199282,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
4,40,1986,137,1,61.54,10,23,43,83,28,22,49.43,54.61,2,7.07,Murilo,murilo,1124,874729,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
