tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
5,0,0,2,0,0,0,7,1,7.46,Ronie Carrillo,ronie-carrillo,191,873891,El Nacional,el-nacional,El Nacional,0,0,5254,#52b030,#52b030,#ffffff
0,0,7,0,0,0,0,7,0,7.41,Brian Heras,brian-heras,17,877442,Delfín,delfin,Delfín,0,0,213638,#52b030,#52b030,#ffffff
43,0,1,18,0,0,0,11,13,7.34,Joaquín Vergés,joaquin-verges,36,789939,Gualaceo SC,gualaceo-sc,Gualaceo SC,0,0,248196,#52b030,#52b030,#ffffff
18,0,1,12,0,0,0,2,10,7.33,Mauro Díaz,mauro-diaz,44,42573,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
28,0,0,6,0,0,0,3,6,7.29,Alexander Alvarado,alexander-alvarado,366,826826,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
8,0,2,5,0,0,0,4,9,7.24,Michael Hoyos,michael-hoyos,138,105717,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
0,0,10,0,0,0,0,24,2,7.22,Rafael Romo,rafael-romo,318,108832,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
18,0,3,4,0,0,0,5,8,7.2,Rómulo Otero,romulo-otero,745,845323,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
47,0,5,20,0,0,0,28,13,7.19,Facundo Martinez,facundo-martinez,16,33308,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
15,0,1,9,0,0,0,4,9,7.19,Damián Díaz,damian-diaz,222,42454,Barcelona SC,barcelona-sc,Barcelona SC,0,0,5250,#52b030,#52b030,#ffffff
1,0,10,0,0,0,0,17,1,7.19,Hernán Galíndez,hernan-galindez,232,588618,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
7,0,2,2,0,0,0,9,7,7.18,Jean Carlos Blanco,jean-carlos-blanco,58,1199361,Técnico Universitario,tecnico-universitario,Técnico Universitario,0,0,21941,#52b030,#52b030,#ffffff
1,0,13,0,0,0,1,6,0,7.18,Alexander Domínguez,alexander-dominguez,296,33567,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
26,0,4,17,0,0,0,31,7,7.18,José Quintero,jose-quintero,40,805485,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
11,0,4,6,0,0,0,2,17,7.18,Lucas Mancinelli,lucas-mancinelli,18,174935,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
0,0,2,0,0,0,0,6,0,7.14,Damián Frascarelli,damian-frascarelli,26,107249,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
9,0,3,3,0,0,0,2,4,7.14,Junior Sornoza,junior-sornoza,320,155786,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
0,0,14,0,0,0,0,10,1,7.13,Pedro Ortiz,pedro-ortiz,32,905632,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
14,0,2,9,0,0,0,19,5,7.12,Hancel Batalla,hancel-batalla,15,873887,Cumbayá FC,cumbaya-fc,Cumbayá FC,0,0,377757,#52b030,#52b030,#ffffff
12,0,5,16,1,0,0,45,4,7.11,Richard Schunke,richard-schunke,70,877436,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
22,0,3,8,0,0,0,10,14,7.11,Braian Oyola,braian-oyola,16,906808,Delfín,delfin,Delfín,0,0,213638,#52b030,#52b030,#ffffff
29,0,13,36,0,3,0,85,8,7.1,Ricardo Adé,ricardo-ade,1073,839638,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
0,0,1,0,0,0,0,7,0,7.1,Benjamin Cardenas,cardenas-benjamin,2,1185856,Cumbayá FC,cumbaya-fc,Cumbayá FC,0,0,377757,#52b030,#52b030,#ffffff
6,0,1,3,0,0,0,3,5,7.09,Sergio López,sergio-lopez,12,221748,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
7,0,1,1,0,1,0,20,11,7.08,Andrés Parrales,andres-parrales,66,340247,Guayaquil City,guayaquil-city,Guayaquil City,0,0,188850,#52b030,#52b030,#ffffff
15,0,4,40,0,0,0,70,1,7.08,Bruno Duarte,bruno-duarte,9,874645,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
17,0,9,19,0,1,0,40,3,7.08,Agustín García Basso,agustin-garcia-basso,21,896806,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
52,0,4,26,0,0,0,25,27,7.07,Nicolás Rinaldi,nicolas-rinaldi,16,859965,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
7,0,4,3,0,0,0,2,3,7.06,Miller Bolaños,miller-bolanos,215,47658,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
7,0,0,5,0,0,0,8,1,7.06,Byron Palacios,byron-palacios,15,961894,El Nacional,el-nacional,El Nacional,0,0,5254,#52b030,#52b030,#ffffff
6,0,4,8,0,0,0,3,5,7.06,Ismael Díaz,ismael-diaz,254,796328,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
4,0,4,1,0,0,0,17,3,7.05,Jaime Ayoví,jaime-ayovi,82,106458,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
2,0,0,1,0,0,0,3,0,7.04,Jeison Medina,jeison-medina,47,925147,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
19,0,0,4,0,0,0,5,6,7.04,Renato Ibarra,renato-ibarra,204,158395,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
14,0,1,7,0,0,0,7,7,7.03,Francisco Fydriszewski,francisco-fydriszewski,201,594430,Barcelona SC,barcelona-sc,Barcelona SC,0,0,5250,#52b030,#52b030,#ffffff
22,0,1,9,0,0,0,18,11,7.02,José Cevallos,jose-cevallos,69,33703,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
16,0,7,6,0,0,0,22,6,7.02,Yerson Candelo,yerson-candelo,120,158593,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
1,1,2,1,0,0,0,15,0,7.02,Leodan Chalá,leodan-chala,5,822736,El Nacional,el-nacional,El Nacional,0,0,5254,#52b030,#52b030,#ffffff
19,0,8,16,0,0,0,31,5,7.02,Anthony Landázuri,anthony-landazuri,67,826831,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
1,0,0,0,0,0,0,9,0,7.0,Diogo Bagui,bagui-diogo,10,1470458,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
2,0,0,0,0,0,0,0,1,7.0,Richard Borja,borja-richard,13,1517144,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
23,0,2,6,0,0,0,5,4,7.0,Alexander Bolaños,alexander-bolanos,15,965310,Técnico Universitario,tecnico-universitario,Técnico Universitario,0,0,21941,#52b030,#52b030,#ffffff
13,0,5,11,0,1,0,9,3,7.0,Jordy Alcivar,jordy-alcivar,159,925740,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
1,0,0,0,0,0,0,4,1,6.99,Paolo Guerrero,paolo-guerrero,3936,338,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
11,0,3,1,0,0,0,7,3,6.99,Facundo Castelli,castelli-facundo,21,895229,Delfín,delfin,Delfín,0,0,213638,#52b030,#52b030,#ffffff
6,0,0,6,0,0,0,3,3,6.99,Dario Pazmino,pazmino-dario,1,977091,Libertad,libertad,Libertad,0,0,394127,#52b030,#52b030,#ffffff
22,0,4,14,0,0,0,1,7,6.99,Arón Rodríguez,aron-rodriguez,33,1011412,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
14,0,7,6,0,0,0,43,8,6.98,Fausto Grillo,fausto-grillo,29,553508,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
5,0,2,4,0,1,0,11,5,6.98,Raúl Becerra,raul-becerra,51,340415,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
22,0,13,16,0,0,0,94,8,6.98,Luis Fernando León,luis-fernando-leon,88,339967,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
