goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
9,53.33,11,1,1,2,,60,15.0,0,0,11,4,22,0,0,2,0.0,8,27,0,8,7,0.0,7.46,Ronie Carrillo,ronie-carrillo,191,873891,El Nacional,el-nacional,El Nacional,0,0,5254,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.41,Brian Heras,brian-heras,17,877442,Delfín,delfin,Delfín,0,0,213638,#52b030,#52b030,#ffffff
10,44.12,12,1,2,2,0.0,84,11.9,13,0,7,5,38,5,2,0,100.0,15,34,5,8,10,15.38,7.34,Joaquín Vergés,joaquin-verges,36,789939,Gualaceo SC,gualaceo-sc,Gualaceo SC,0,0,248196,#52b030,#52b030,#ffffff
6,68.42,4,0,0,1,0.0,27,22.22,2,0,1,0,14,1,0,1,100.0,26,9,1,6,5,0.0,7.33,Mauro Díaz,mauro-diaz,44,42573,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
10,56.1,17,1,2,1,0.0,56,17.86,12,0,5,1,20,7,1,0,85.71,23,19,6,8,10,8.33,7.29,Alexander Alvarado,alexander-alvarado,366,826826,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
12,30.77,13,2,1,1,0.0,62,19.35,2,4,9,4,22,2,0,2,100.0,4,27,2,11,6,0.0,7.24,Michael Hoyos,michael-hoyos,138,105717,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.22,Rafael Romo,rafael-romo,318,108832,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
2,62.5,11,0,1,2,0.0,53,3.77,25,0,0,0,21,1,1,0,100.0,40,21,1,1,2,4.0,7.2,Rómulo Otero,romulo-otero,745,845323,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
1,58.62,8,0,1,2,0.0,27,3.7,3,0,1,1,7,0,0,0,0.0,17,12,0,0,1,0.0,7.19,Facundo Martinez,facundo-martinez,16,33308,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
10,50.0,6,0,3,1,0.0,37,27.03,6,1,0,1,15,5,0,0,80.0,15,16,4,7,9,0.0,7.19,Damián Díaz,damian-diaz,222,42454,Barcelona SC,barcelona-sc,Barcelona SC,0,0,5250,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.19,Hernán Galíndez,hernan-galindez,232,588618,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
13,63.64,5,0,0,2,0.0,40,32.5,0,5,4,5,22,4,0,2,75.0,7,13,3,13,6,0.0,7.18,Jean Carlos Blanco,jean-carlos-blanco,58,1199361,Técnico Universitario,tecnico-universitario,Técnico Universitario,0,0,21941,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.18,Alexander Domínguez,alexander-dominguez,296,33567,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
5,57.89,3,1,0,0,0.0,21,23.81,2,1,0,1,9,0,0,0,0.0,11,9,0,5,4,0.0,7.18,José Quintero,jose-quintero,40,805485,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
3,42.86,9,0,0,1,0.0,48,6.25,6,0,11,2,16,2,0,0,100.0,15,23,2,3,3,0.0,7.18,Lucas Mancinelli,lucas-mancinelli,18,174935,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.14,Damián Frascarelli,damian-frascarelli,26,107249,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
3,52.38,12,2,0,3,0.0,47,6.38,7,0,2,5,13,4,0,0,75.0,11,22,3,3,3,0.0,7.14,Junior Sornoza,junior-sornoza,320,155786,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.13,Pedro Ortiz,pedro-ortiz,32,905632,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
6,40.48,7,0,2,2,0.0,33,18.18,7,0,5,0,16,2,2,1,100.0,17,10,2,4,5,28.57,7.12,Hancel Batalla,hancel-batalla,15,873887,Cumbayá FC,cumbaya-fc,Cumbayá FC,0,0,377757,#52b030,#52b030,#ffffff
0,66.67,0,0,0,0,0.0,7,0.0,0,0,0,1,2,0,0,0,0.0,2,5,0,0,0,0.0,7.11,Richard Schunke,richard-schunke,70,877436,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
6,64.94,4,0,0,0,0.0,41,14.63,2,0,5,3,14,4,0,6,100.0,50,23,4,6,0,0.0,7.11,Braian Oyola,braian-oyola,16,906808,Delfín,delfin,Delfín,0,0,213638,#52b030,#52b030,#ffffff
0,83.33,3,0,0,0,0.0,17,0.0,0,0,1,0,4,0,0,0,0.0,5,10,0,0,0,0.0,7.1,Ricardo Adé,ricardo-ade,1073,839638,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.1,Benjamin Cardenas,cardenas-benjamin,2,1185856,Cumbayá FC,cumbaya-fc,Cumbayá FC,0,0,377757,#52b030,#52b030,#ffffff
3,45.0,5,0,1,1,0.0,42,7.14,7,1,2,0,14,0,1,0,0.0,9,23,0,2,2,14.29,7.09,Sergio López,sergio-lopez,12,221748,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
16,46.67,10,1,2,0,0.0,58,27.59,5,4,12,4,26,8,1,0,100.0,7,22,8,14,12,20.0,7.08,Andrés Parrales,andres-parrales,66,340247,Guayaquil City,guayaquil-city,Guayaquil City,0,0,188850,#52b030,#52b030,#ffffff
1,100.0,2,0,0,0,,11,9.09,0,1,0,0,4,0,0,0,0.0,1,5,0,1,0,0.0,7.08,Bruno Duarte,bruno-duarte,9,874645,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
2,70.0,1,0,2,3,0.0,12,16.67,3,0,0,0,5,0,1,2,0.0,7,6,0,0,0,33.33,7.08,Agustín García Basso,agustin-garcia-basso,21,896806,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
1,35.29,2,1,0,1,0.0,29,3.45,0,1,1,1,11,0,0,0,0.0,6,16,0,1,0,0.0,7.07,Nicolás Rinaldi,nicolas-rinaldi,16,859965,Deportivo Cuenca,deportivo-cuenca,Deportivo Cuenca,0,0,5251,#52b030,#52b030,#ffffff
8,33.33,5,1,0,2,0.0,34,23.53,2,0,12,6,17,6,0,0,66.67,4,12,4,8,8,0.0,7.06,Miller Bolaños,miller-bolanos,215,47658,Emelec,emelec,Emelec,0,0,5255,#52b030,#52b030,#ffffff
7,67.57,5,2,0,0,0.0,41,17.07,0,1,13,4,19,0,0,3,0.0,25,17,0,7,3,0.0,7.06,Byron Palacios,byron-palacios,15,961894,El Nacional,el-nacional,El Nacional,0,0,5254,#52b030,#52b030,#ffffff
8,57.35,6,1,1,7,0.0,56,14.29,1,1,5,10,29,3,0,1,100.0,39,21,3,7,6,0.0,7.06,Ismael Díaz,ismael-diaz,254,796328,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
