name,slug,shortName,position,jerseyNumber,height,preferredFoot,userCount,id,shirtNumber,dateOfBirthTimestamp,contractUntilTimestamp,proposedMarketValue,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.primaryUniqueTournament.name,team.primaryUniqueTournament.slug,team.primaryUniqueTournament.primaryColorHex,team.primaryUniqueTournament.secondaryColorHex,team.primaryUniqueTournament.category.name,team.primaryUniqueTournament.category.slug,team.primaryUniqueTournament.category.sport.name,team.primaryUniqueTournament.category.sport.slug,team.primaryUniqueTournament.category.sport.id,team.primaryUniqueTournament.category.id,team.primaryUniqueTournament.category.flag,team.primaryUniqueTournament.category.alpha2,team.primaryUniqueTournament.userCount,team.primaryUniqueTournament.id,team.primaryUniqueTournament.displayInverseHomeAwayTeams,team.userCount,team.nameCode,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,firstName,lastName,retired,team.disabled,gender,deceased
Ronie Carrillo,ronie-carrillo,R. Carrillo,F,19,186.0,Right,190,873891,19.0,842140800.0,1782777600.0,930000.0,Portimonense,portimonense,Portimonense,M,Football,football,1,Liga Portugal,liga-portugal,#ffc501,#e6a100,Portugal,portugal,Football,football,1.0,44.0,portugal,PT,172768.0,238.0,False,13917,POR,False,0,3026,PT,Portugal,#ffffff,#000000,#000000,EC,Ecuador,930000.0,EUR,,,,,,
Brian Heras,brian-heras,B. Heras,G,26,180.0,,17,877442,26.0,798076800.0,,290000.0,Delfín,delfin,Delfín,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,5215,DSC,False,0,213638,EC,Ecuador,#004597,#ffc414,#ffc414,EC,Ecuador,290000.0,EUR,,,False,False,,
Joaquín Vergés,joaquin-verges,J. Vergés,M,5,175.0,Right,36,789939,5.0,707356800.0,,470000.0,Gualaceo SC,gualaceo-sc,Gualaceo,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,2276,GUA,False,0,248196,EC,Ecuador,#f9f11e,#13943b,#13943b,UY,Uruguay,470000.0,EUR,,,,,,
Mauro Díaz,mauro-diaz,M. Díaz,M,28,170.0,Right,43,42573,28.0,668563200.0,,720000.0,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,6217,UNI,False,0,21942,EC,Ecuador,#4bacd2,#222226,#222226,AR,Argentina,720000.0,EUR,,,,,,
Alexander Alvarado,alexander-alvarado,A. Alvarado,M,10,165.0,Right,367,826826,10.0,916876800.0,1830211200.0,2000000.0,LDU,ldu,LDU,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22367,LDU,False,0,5257,EC,Ecuador,#ffffff,#ffffff,#ffffff,EC,Ecuador,2000000.0,EUR,,,,False,,
Michael Hoyos,michael-hoyos,M. Hoyos,F,11,179.0,Left,137,105717,11.0,681091200.0,,1200000.0,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22891,IND,False,0,39723,EC,Ecuador,#002945,#e8ac35,#e8ac35,AR,Argentina,1200000.0,EUR,,,,False,,
Rafael Romo,rafael-romo,R. Romo,G,22,197.0,Right,320,108832,22.0,635904000.0,,390000.0,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,6217,UNI,False,0,21942,EC,Ecuador,#4bacd2,#222226,#222226,VE,Venezuela,390000.0,EUR,,,,,,
Rómulo Otero,romulo-otero,R. Otero,M,23,166.0,Right,745,845323,23.0,721267200.0,1703980800.0,970000.0,Aucas,aucas,Aucas,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,7497,SDA,False,0,5249,EC,Ecuador,#d4252a,#ffdd00,#ffdd00,VE,Venezuela,970000.0,EUR,,,,False,,
Facundo Martinez,facundo-martinez,F. Martinez,M,10,179.0,Right,16,33308,10.0,481248000.0,1735603200.0,380000.0,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,6217,UNI,False,0,21942,EC,Ecuador,#4bacd2,#222226,#222226,AR,Argentina,380000.0,EUR,,,,,,
Damián Díaz,damian-diaz,D. Díaz,M,10,175.0,Right,222,42454,10.0,515289600.0,1767139200.0,465000.0,Barcelona SC,barcelona-sc,Barcelona SC,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22465,BSC,False,0,5250,EC,Ecuador,#ffff00,#000000,#000000,EC,Ecuador,465000.0,EUR,,,,False,,
Hernán Galíndez,hernan-galindez,H. Galíndez,G,12,189.0,Right,232,588618,12.0,544060800.0,,465000.0,Aucas,aucas,Aucas,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,7497,SDA,False,0,5249,EC,Ecuador,#d4252a,#ffdd00,#ffdd00,EC,Ecuador,465000.0,EUR,,,False,False,,
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,9,185.0,Right,56,1199361,9.0,702518400.0,1703980800.0,530000.0,Técnico Universitario,tecnico-universitario,Técnico,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,2879,TEC,False,0,21941,EC,Ecuador,#b80606,#dfdfdf,#dfdfdf,CO,Colombia,530000.0,EUR,,,False,,,
Alexander Domínguez,alexander-dominguez,A. Domínguez,G,22,195.0,Right,296,33567,22.0,549849600.0,1735603200.0,535000.0,LDU,ldu,LDU,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22367,LDU,False,0,5257,EC,Ecuador,#ffffff,#ffffff,#ffffff,EC,Ecuador,535000.0,EUR,,,,False,,
José Quintero,jose-quintero,J. Quintero,D,14,176.0,Right,40,805485,14.0,645840000.0,,650000.0,LDU,ldu,LDU,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22367,LDU,False,0,5257,EC,Ecuador,#ffffff,#ffffff,#ffffff,EC,Ecuador,650000.0,EUR,,,,False,,
Lucas Mancinelli,lucas-mancinelli,L. Mancinelli,M,7,168.0,Right,18,174935,7.0,615686400.0,,485000.0,Deportivo Cuenca,deportivo-cuenca,Cuenca,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,4135,CUE,False,0,5251,EC,Ecuador,#990000,#ffff00,#ffff00,AR,Argentina,485000.0,EUR,,,,,,
Damián Frascarelli,damian-frascarelli,D. Frascarelli,G,1,189.0,Right,26,107249,1.0,486518400.0,1703980800.0,180000.0,Aucas,aucas,Aucas,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,7497,SDA,False,0,5249,EC,Ecuador,#d4252a,#ffdd00,#ffdd00,UY,Uruguay,180000.0,EUR,,,,False,,
Junior Sornoza,junior-sornoza,J. Sornoza,F,10,166.0,Right,321,155786,10.0,759715200.0,1735603200.0,1900000.0,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22891,IND,False,0,39723,EC,Ecuador,#002945,#e8ac35,#e8ac35,EC,Ecuador,1900000.0,EUR,,,,False,,
Pedro Ortiz,pedro-ortiz,P. Ortiz,G,12,187.0,Right,32,905632,12.0,635385600.0,1703894400.0,880000.0,Emelec,emelec,Emelec,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,13221,CSE,False,0,5255,EC,Ecuador,#0000cc,#333399,#333399,EC,Ecuador,880000.0,EUR,,,,False,,
Hancel Batalla,hancel-batalla,H. Batalla,F,11,174.0,Right,15,873887,11.0,879033600.0,1703980800.0,340000.0,Cumbayá FC,cumbaya-fc,Cumbayá FC,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,3203,CUM,False,0,377757,EC,Ecuador,#52b030,#52b030,#ffffff,EC,Ecuador,340000.0,EUR,,,False,,,
Richard Schunke,richard-schunke,Richard Schunke,D,5,185.0,Right,71,877436,5.0,691113600.0,1703980800.0,1400000.0,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22891,IND,False,0,39723,EC,Ecuador,#002945,#e8ac35,#e8ac35,AR,Argentina,1400000.0,EUR,,,False,False,,
Braian Oyola,braian-oyola,B. Oyola,M,10,158.0,Left,17,906808,10.0,834796800.0,,870000.0,Delfín,delfin,Delfín,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,5215,DSC,False,0,213638,EC,Ecuador,#004597,#ffc414,#ffc414,AR,Argentina,870000.0,EUR,,,,False,,
Ricardo Adé,ricardo-ade,R. Adé,D,4,190.0,Right,1072,839638,4.0,643248000.0,1767139200.0,720000.0,LDU,ldu,LDU,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22367,LDU,False,0,5257,EC,Ecuador,#ffffff,#ffffff,#ffffff,HT,Haiti,720000.0,EUR,,,,False,,
Benjamin Cardenas,cardenas-benjamin,B. Cardenas,G,33,,,2,1185856,33.0,936144000.0,1703980800.0,105000.0,Cumbayá FC,cumbaya-fc,Cumbayá FC,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,3203,CUM,False,0,377757,EC,Ecuador,#52b030,#52b030,#ffffff,EC,Ecuador,105000.0,EUR,,,,,,
Sergio López,sergio-lopez,S. López,M,10,178.0,Right,12,221748,10.0,599875200.0,,290000.0,Deportivo Cuenca,deportivo-cuenca,Cuenca,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,4135,CUE,False,0,5251,EC,Ecuador,#990000,#ffff00,#ffff00,AR,Argentina,290000.0,EUR,,,,,,
Andrés Parrales,andres-parrales,A. Parrales,F,10,177.0,Right,66,340247,10.0,819936000.0,1830211200.0,1200000.0,Guayaquil City,guayaquil-city,Guayaquil City,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,3362,GUA,False,0,188850,EC,Ecuador,#87bee7,#0070a0,#0070a0,EC,Ecuador,1200000.0,EUR,,,,,,
Bruno Duarte,bruno-duarte,B. Duarte,D,26,190.0,,9,874645,26.0,803606400.0,1719705600.0,620000.0,Panetolikos,panetolikos,Panetolikos,M,Football,football,1,Stoiximan Super League,stoiximan-super-league,#61c0e2,#007eb7,Greece,greece,Football,football,1.0,67.0,greece,GR,43203.0,185.0,False,6455,PAN,False,0,7004,GR,Greece,#ffff33,#0000ff,#0000ff,AR,Argentina,620000.0,EUR,,,,,,
Agustín García Basso,agustin-garcia-basso,A. G. Basso,D,2,178.0,Right,21,896806,2.0,701568000.0,,980000.0,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22891,IND,False,0,39723,EC,Ecuador,#002945,#e8ac35,#e8ac35,AR,Argentina,980000.0,EUR,,,,False,,
Nicolás Rinaldi,nicolas-rinaldi,N. Rinaldi,M,8,185.0,Right,16,859965,8.0,746064000.0,,480000.0,Deportivo Cuenca,deportivo-cuenca,Cuenca,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,4135,CUE,False,0,5251,EC,Ecuador,#990000,#ffff00,#ffff00,AR,Argentina,480000.0,EUR,,,,,,
Miller Bolaños,miller-bolanos,M. Bolaños,F,23,169.0,Right,215,47658,23.0,644198400.0,1735603200.0,1000000.0,Emelec,emelec,Emelec,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,13221,CSE,False,0,5255,EC,Ecuador,#0000cc,#333399,#333399,EC,Ecuador,1000000.0,EUR,,,,False,,
Byron Palacios,byron-palacios,B. Palacios,F,18,,,15,961894,18.0,790560000.0,1703980800.0,650000.0,El Nacional,el-nacional,El Nacional,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,6417,ELN,False,0,5254,EC,Ecuador,#f60404,#222226,#222226,EC,Ecuador,650000.0,EUR,,,False,,,
Ismael Díaz,ismael-diaz,I. Díaz,F,30,181.0,Right,255,796328,30.0,863395200.0,1751241600.0,970000.0,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,6217,UNI,False,0,21942,EC,Ecuador,#4bacd2,#222226,#222226,PA,Panama,970000.0,EUR,,,,,,
Jaime Ayoví,jaime-ayovi,J. Ayoví,F,17,185.0,Both,82,106458,17.0,572400000.0,1719705600.0,240000.0,Emelec,emelec,Emelec,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,13221,CSE,False,0,5255,EC,Ecuador,#0000cc,#333399,#333399,EC,Ecuador,240000.0,EUR,,,,False,,
Jeison Medina,jeison-medina,J. Medina,F,9,180.0,Right,47,925147,9.0,793843200.0,,465000.0,Aucas,aucas,Aucas,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,7497,SDA,False,0,5249,EC,Ecuador,#d4252a,#ffdd00,#ffdd00,CO,Colombia,465000.0,EUR,,,,False,,
Renato Ibarra,renato-ibarra,R. Ibarra,M,32,174.0,Right,204,158395,32.0,664329600.0,1703980800.0,1100000.0,LDU,ldu,LDU,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22367,LDU,False,0,5257,EC,Ecuador,#ffffff,#ffffff,#ffffff,EC,Ecuador,1100000.0,EUR,,,,False,,
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,18,186.0,Both,201,594430,18.0,729561600.0,1767139200.0,760000.0,Barcelona SC,barcelona-sc,Barcelona SC,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22465,BSC,False,0,5250,EC,Ecuador,#ffff00,#000000,#000000,AR,Argentina,760000.0,EUR,,,,False,,
José Cevallos,jose-cevallos,J. Cevallos,M,21,186.0,Right,69,33703,21.0,790387200.0,1703980800.0,825000.0,Emelec,emelec,Emelec,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,13221,CSE,False,0,5255,EC,Ecuador,#0000cc,#333399,#333399,EC,Ecuador,825000.0,EUR,,,,False,,
Yerson Candelo,yerson-candelo,Y. Candelo,M,19,172.0,Right,121,158593,19.0,698889600.0,1703980800.0,945000.0,Aucas,aucas,Aucas,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,7497,SDA,False,0,5249,EC,Ecuador,#d4252a,#ffdd00,#ffdd00,CO,Colombia,945000.0,EUR,,,,False,,
Leodan Chalá,leodan-chala,L. Chalá,G,1,188.0,,5,822736,1.0,885686400.0,1703980800.0,280000.0,El Nacional,el-nacional,El Nacional,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,6417,ELN,False,0,5254,EC,Ecuador,#f60404,#222226,#222226,EC,Ecuador,280000.0,EUR,,,,,,
Anthony Landázuri,anthony-landazuri,A. Landázuri,D,4,178.0,Right,67,826831,4.0,861408000.0,1735603200.0,420000.0,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22891,IND,False,0,39723,EC,Ecuador,#002945,#e8ac35,#e8ac35,EC,Ecuador,420000.0,EUR,,,,False,,
Diogo Bagui,bagui-diogo,D. Bagüí,D,32,180.0,,10,1470458,32.0,1111276800.0,,,Emelec,emelec,Emelec,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,13221,CSE,False,0,5255,EC,Ecuador,#0000cc,#333399,#333399,EC,Ecuador,,,Diogo Bagüí,,,False,M,
Richard Borja,borja-richard,R. Borja,F,70,,,13,1517144,70.0,1083110400.0,,,Emelec,emelec,Emelec,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,13221,CSE,False,0,5255,EC,Ecuador,#0000cc,#333399,#333399,EC,Ecuador,,,Richard Borja,,,False,M,
Alexander Bolaños,alexander-bolanos,A. Bolaños,F,11,178.0,,15,965310,11.0,944956800.0,,465000.0,Técnico Universitario,tecnico-universitario,Técnico,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,2879,TEC,False,0,21941,EC,Ecuador,#b80606,#dfdfdf,#dfdfdf,EC,Ecuador,465000.0,EUR,,,,,,
Jordy Alcivar,jordy-alcivar,J. Alcivar,M,7,173.0,Right,160,925740,7.0,933811200.0,,2000000.0,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22891,IND,False,0,39723,EC,Ecuador,#002945,#e8ac35,#e8ac35,EC,Ecuador,2000000.0,EUR,,,,False,,
Paolo Guerrero,paolo-guerrero,P. Guerrero,F,9,185.0,Right,3940,338,9.0,441763200.0,1703980800.0,145000.0,LDU,ldu,LDU,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,22367,LDU,False,0,5257,EC,Ecuador,#ffffff,#ffffff,#ffffff,PE,Peru,145000.0,EUR,,,False,False,,
Facundo Castelli,castelli-facundo,F. Castelli,F,9,183.0,Right,21,895229,9.0,793065600.0,,270000.0,Delfín,delfin,Delfín,M,Football,football,1,LigaPro Serie A,ligapro-serie-a,#feca06,#025388,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,14876.0,240.0,False,5215,DSC,False,0,213638,EC,Ecuador,#004597,#ffc414,#ffc414,AR,Argentina,270000.0,EUR,,,,False,M,
Dario Pazmino,pazmino-dario,D. Pazmino,M,14,,,1,977091,14.0,959212800.0,,230000.0,Macará,macara,Macará,M,Football,football,1,LigaPro Serie B,ligapro-serie-b,#002c5f,#df0e1b,Ecuador,ecuador,Football,football,1.0,165.0,ecuador,EC,3207.0,10240.0,False,5291,MAC,False,0,6001,EC,Ecuador,#80cfee,#091249,#091249,EC,Ecuador,230000.0,EUR,,,,,,
