name,firstName,lastName,slug,shortName,position,jerseyNumber,height,preferredFoot,userCount,id,shirtNumber,dateOfBirthTimestamp,contractUntilTimestamp,proposedMarketValue,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.primaryUniqueTournament.name,team.primaryUniqueTournament.slug,team.primaryUniqueTournament.primaryColorHex,team.primaryUniqueTournament.secondaryColorHex,team.primaryUniqueTournament.category.name,team.primaryUniqueTournament.category.slug,team.primaryUniqueTournament.category.sport.name,team.primaryUniqueTournament.category.sport.slug,team.primaryUniqueTournament.category.sport.id,team.primaryUniqueTournament.category.id,team.primaryUniqueTournament.category.flag,team.primaryUniqueTournament.category.alpha2,team.primaryUniqueTournament.userCount,team.primaryUniqueTournament.id,team.primaryUniqueTournament.displayInverseHomeAwayTeams,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,retired,deceased,gender
Luis Suárez,,,luis-suarez,L. Suárez,F,9,182.0,Right,67176,16943,9.0,538444800.0,1703980800.0,3600000.0,Grêmio,gremio,Grêmio,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,107182,GPA,False,False,0,5926,BR,Brazil,#3399ff,#000033,#000033,UY,Uruguay,3600000.0,EUR,False,False,
Marcelo Lomba,,,marcelo-lomba,M. Lomba,G,42,187.0,Right,486,34141,42.0,535248000.0,1703980800.0,270000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,270000.0,EUR,,,
Tiquinho Soares,,,tiquinho-soares,T. Soares,F,9,187.0,Right,4253,789100,9.0,664070400.0,1735603200.0,4099999.0,Botafogo,botafogo,Botafogo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,100509,BOT,False,False,0,1958,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,4099999.0,EUR,,,
Giorgian De Arrascaeta,,,giorgian-de-arrascaeta,G. De Arrascaeta,M,14,173.0,Right,15068,333587,14.0,770428800.0,1798675200.0,16399999.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,UY,Uruguay,16399999.0,EUR,False,,
Robert Arboleda,,,robert-arboleda,R. Arboleda,D,5,187.0,Right,1472,338937,5.0,688089600.0,1735603200.0,1500000.0,São Paulo,sao-paulo,São Paulo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,160434,SPA,False,False,0,1981,BR,Brazil,#ffffff,#000000,#000000,EC,Ecuador,1500000.0,EUR,,,
Agustín Rossi,,,agustin-rossi,Agustín Rossi,G,17,190.0,Right,1358,1140986,17.0,808963200.0,1830211200.0,6200000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,AR,Argentina,6200000.0,EUR,False,False,
Matheus Cunha,Matheus Cunha,,matheus-cunha,Matheus Cunha,G,25,193.0,Right,1562,1105835,25.0,990662400.0,1767139200.0,2900000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,BR,Brazil,2900000.0,EUR,False,,
Vitor Bueno,,,vitor-bueno,Vitor Bueno,M,8,183.0,Right,617,808785,8.0,778723200.0,1735603200.0,1500000.0,Athletico,athletico,Athletico,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,68818,CAP,False,False,0,1967,BR,Brazil,#000000,#cc0000,#cc0000,BR,Brazil,1500000.0,EUR,False,,
Anderson,,,anderson,Anderson,G,98,190.0,Left,114,942061,98.0,889056000.0,1735603200.0,185000.0,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,79902,CRU,False,False,0,1954,BR,Brazil,#0033cc,#0033cc,#0033cc,BR,Brazil,185000.0,EUR,False,,
Mauricio Kozlinski,,,mauricio-kozlinski,Mauricio Kozlinski,G,30,190.0,Right,55,879859,30.0,677203200.0,1703980800.0,380000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,BR,Brazil,380000.0,EUR,False,,
Matheus Mendes,,,matheus-mendes,M. Mendes,G,31,194.0,Both,137,1018555,31.0,921024000.0,1798675200.0,260000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,260000.0,EUR,,,
Moisés,Moisés,,moises,Moisés,F,10,177.0,Right,417,1046501,10.0,841622400.0,,1400000.0,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1.0,12.0,mexico,MX,27478.0,11620.0,False,22208,CAZ,False,False,0,1947,MX,Mexico,#0080c0,#ffffff,#ffffff,BR,Brazil,1400000.0,EUR,,,
Alef Manga,,,manga-alef,A. Manga,M,11,190.0,Right,501,954719,11.0,786067200.0,1767139200.0,2100000.0,Coritiba,coritiba,Coritiba,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,38928,COR,False,False,0,1982,BR,Brazil,#ffffff,#009966,#009966,BR,Brazil,2100000.0,EUR,,,
Pablo Vegetti,,,pablo-vegetti,Pablo Vegetti,F,99,187.0,Right,2050,583974,99.0,592876800.0,1751241600.0,485000.0,Vasco da Gama,vasco-da-gama,Vasco,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,103340,VAS,False,False,0,1974,BR,Brazil,#ffffff,#000000,#000000,AR,Argentina,485000.0,EUR,False,False,
Lucas Veríssimo,,,lucas-verissimo,L. Veríssimo,D,3,188.0,Right,1928,826343,3.0,804643200.0,1719705600.0,6200000.0,Corinthians,corinthians,Corinthians,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,174419,COR,False,False,0,1957,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,6200000.0,EUR,,,
Lucas Evangelista,,,lucas-evangelista,L. Evangelista,M,8,181.0,Left,519,331397,8.0,799718400.0,1782777600.0,3800000.0,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,58804,BRA,False,False,0,1999,BR,Brazil,#363636,#d8d8d6,#d8d8d6,BR,Brazil,3800000.0,EUR,,,
Paulinho,,,paulinho,Paulinho,F,10,175.0,Right,4253,885179,10.0,963619200.0,1798675200.0,9600000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,9600000.0,EUR,False,,
Mauricio Lemos,,,mauricio-lemos,M. Lemos,D,28,186.0,Right,549,385916,28.0,820108800.0,1767139200.0,1400000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,UY,Uruguay,1400000.0,EUR,,,
Lucas Silva,,,lucas-silva,L. Silva,M,16,182.0,Right,524,245159,16.0,729820800.0,1735603200.0,720000.0,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,79902,CRU,False,False,0,1954,BR,Brazil,#0033cc,#0033cc,#0033cc,BR,Brazil,720000.0,EUR,,,
Juninho Capixaba,,,juninho-capixaba,Juninho Capixaba,D,29,176.0,Left,549,870556,29.0,868147200.0,1798675200.0,1200000.0,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,58804,BRA,False,False,0,1999,BR,Brazil,#363636,#d8d8d6,#d8d8d6,BR,Brazil,1200000.0,EUR,False,,
Fernando Miguel,,,fernando-miguel,F. Miguel,G,16,191.0,Left,202,358418,16.0,476150400.0,1703980800.0,140000.0,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,73132,FOR,False,False,0,2020,BR,Brazil,#0000ff,#ff0000,#ff0000,BR,Brazil,140000.0,EUR,,,
Marlon,,,marlon,Marlon,D,3,178.0,Left,537,870787,3.0,864086400.0,1735603200.0,3900000.0,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,79902,CRU,False,False,0,1954,BR,Brazil,#0033cc,#0033cc,#0033cc,BR,Brazil,3900000.0,EUR,False,,
Cleiton,,,cleiton,Cleiton,G,1,190.0,Right,343,844576,1.0,871948800.0,1735603200.0,4400000.0,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,58804,BRA,False,False,0,1999,BR,Brazil,#363636,#d8d8d6,#d8d8d6,BR,Brazil,4400000.0,EUR,,,
Jonathan Calleri,,,jonathan-calleri,J. Calleri,F,9,181.0,Right,4579,340519,9.0,748742400.0,1798675200.0,4200000.0,São Paulo,sao-paulo,São Paulo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,160434,SPA,False,False,0,1981,BR,Brazil,#ffffff,#000000,#000000,AR,Argentina,4200000.0,EUR,False,,
Éverson,,,everson,Éverson,G,22,192.0,Right,602,870748,22.0,648604800.0,1767139200.0,2100000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,2100000.0,EUR,,,
Luan,,,luan,Luan,D,13,186.0,Right,687,250351,13.0,736992000.0,1735603200.0,1800000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,1800000.0,EUR,,,
Léo Ortiz,,,leo-ortiz,L. Ortiz,D,3,185.0,Right,542,869643,3.0,820627200.0,1798675200.0,5800000.0,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,58804,BRA,False,False,0,1999,BR,Brazil,#363636,#d8d8d6,#d8d8d6,BR,Brazil,5800000.0,EUR,,,
Léo Pereira,,,leo-pereira,Léo Pereira,D,4,189.0,Left,1519,358548,4.0,823046400.0,1830211200.0,3700000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,BR,Brazil,3700000.0,EUR,,,
Fabrício Bruno,,,fabricio-bruno,Fabrício Bruno,D,15,192.0,Right,1268,840220,15.0,824083200.0,1767139200.0,3300000.0,Flamengo,flamengo,Flamengo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,296415,FLA,False,False,0,5981,BR,Brazil,#ff0000,#000000,#000000,BR,Brazil,3300000.0,EUR,False,,
Mayke,,,mayke,Mayke,D,12,178.0,Right,845,273329,12.0,721353600.0,1735603200.0,2200000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,2200000.0,EUR,,,
Fábio,,,fabio,Fábio,G,1,188.0,Right,808,17785,1.0,339120000.0,1703980800.0,210000.0,Fluminense,fluminense,Fluminense,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,113402,FLU,False,False,0,1961,BR,Brazil,#660000,#006633,#006633,BR,Brazil,210000.0,EUR,False,,
Jhon Arias,,,jhon-arias,J. Arias,M,21,170.0,Right,2133,844096,21.0,874800000.0,1788134400.0,8600000.0,Fluminense,fluminense,Fluminense,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,113402,FLU,False,False,0,1961,BR,Brazil,#660000,#006633,#006633,CO,Colombia,8600000.0,EUR,,,
Marcos Felipe,,,marcos-felipe,Marcos Felipe,G,22,189.0,Right,258,358524,22.0,829353600.0,1830211200.0,1400000.0,Bahia,bahia,Bahia,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,62440,BAH,False,False,0,1955,BR,Brazil,#ffffff,#333399,#333399,BR,Brazil,1400000.0,EUR,False,,
Marcos Rocha,,,marcos-rocha,Marcos Rocha,D,2,176.0,Right,906,82576,2.0,597801600.0,1703980800.0,920000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,920000.0,EUR,,,
Lucas Perri,,,lucas-perri,L. Perri,G,12,196.0,Right,1386,871290,12.0,881712000.0,1751241600.0,4600000.0,Botafogo,botafogo,Botafogo,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,100509,BOT,False,False,0,1958,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,4600000.0,EUR,,,
Cauly,,,cauly,Cauly,M,8,175.0,Both,824,255873,8.0,811123200.0,1798675200.0,2600000.0,Bahia,bahia,Bahia,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,62440,BAH,False,False,0,1955,BR,Brazil,#ffffff,#333399,#333399,BR,Brazil,2600000.0,EUR,False,,
Adson,Adson,,adson,Adson,M,20,171.0,Left,1048,1105970,20.0,970790400.0,1845936000.0,5600000.0,Nantes,nantes,Nantes,M,Football,football,1,Ligue 1,ligue-1,#091c3e,#a9c011,France,france,Football,football,1.0,7.0,france,FR,520283.0,34.0,False,47966,FCN,False,False,0,1647,FR,France,#ffdc12,#00a94e,#00a94e,BR,Brazil,5600000.0,EUR,False,,
Róger Guedes,,,roger-guedes,Róger Guedes,F,96,182.0,Right,5993,777341,96.0,844214400.0,1814313600.0,9300000.0,Al-Rayyan,al-rayyan,Al-Rayyan,M,Football,football,1,Stars League,stars-league,#8f2555,#888a91,Qatar,qatar,Football,football,1.0,353.0,qatar,QA,8733.0,825.0,False,8374,ALR,False,False,0,40660,QA,Qatar,#cc3300,#000000,#000000,BR,Brazil,9300000.0,EUR,False,False,
Maurício Antônio,,,mauricio-antonio,M. Antônio,D,5,183.0,Right,33,583824,5.0,697334400.0,1767139200.0,415000.0,Coritiba,coritiba,Coritiba,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,38928,COR,False,False,0,1982,BR,Brazil,#ffffff,#009966,#009966,BR,Brazil,415000.0,EUR,,,
Felipe Jonatan,,,felipe-jonatan,F. Jonatan,D,3,176.0,Left,325,931574,3.0,887500800.0,1740700800.0,2400000.0,Santos,santos,Santos,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,87820,SAN,False,False,0,1968,BR,Brazil,#ffffff,#ffffff,#ffffff,BR,Brazil,2400000.0,EUR,False,,
Cipriano,Cipriano,,cipriano,Cipriano,D,38,195.0,Left,30,1111123,38.0,1036800000.0,,,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,58804,BRA,False,False,0,1999,BR,Brazil,#363636,#d8d8d6,#d8d8d6,BR,Brazil,,,,,
Maicon,,,maicon,Maicon,D,4,191.0,Right,505,44691,4.0,590198400.0,1703980800.0,340000.0,Vasco da Gama,vasco-da-gama,Vasco,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,103340,VAS,False,False,0,1974,BR,Brazil,#ffffff,#000000,#000000,BR,Brazil,340000.0,EUR,False,False,
Joaquim,,,joaquim,Joaquim,D,28,187.0,Right,372,1047740,28.0,914803200.0,1798675200.0,680000.0,Santos,santos,Santos,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,87820,SAN,False,False,0,1968,BR,Brazil,#ffffff,#ffffff,#ffffff,BR,Brazil,680000.0,EUR,False,,
Rafael Cabral,,,rafael-cabral,Rafael Cabral,G,1,186.0,Right,351,124980,1.0,643161600.0,1735603200.0,505000.0,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,79902,CRU,False,False,0,1954,BR,Brazil,#0033cc,#0033cc,#0033cc,BR,Brazil,505000.0,EUR,,,
Bitello,Bitello,,bitello,Bitello,M,89,179.0,Right,1412,1106839,89.0,947203200.0,1845936000.0,7800000.0,Dynamo Moscow,dynamo-moscow,Dynamo,M,Football,football,1,Premier Liga,premier-liga,#2580C3,#E94A51,Russia,russia,Football,football,1.0,21.0,russia,RU,36449.0,203.0,False,18624,DMO,False,False,0,2315,RU,Russia,#0066ff,#0066ff,#0066ff,BR,Brazil,7800000.0,EUR,False,,
Murillo,Murillo,,murillo,Murillo,D,40,183.0,Left,1442,1199282,40.0,1025740800.0,1845936000.0,8700000.0,Nottingham Forest,nottingham-forest,Forest,M,Football,football,1,Premier League,premier-league,#3c1c5a,#f80158,England,england,Football,football,1.0,1.0,england,EN,1356259.0,17.0,False,104800,NFO,False,False,0,14,EN,England,#cc0000,#cc0000,#cc0000,BR,Brazil,8700000.0,EUR,False,,M
Murilo,,,murilo,Murilo,D,26,188.0,Right,1124,874729,26.0,859420800.0,1798675200.0,9200000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,9200000.0,EUR,False,,
Renê,,,rene,Renê,D,6,174.0,Left,636,243113,6.0,716428800.0,1735603200.0,930000.0,Internacional,internacional,Internacional,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,90636,INT,False,False,0,1966,BR,Brazil,#cc0000,#cc0000,#cc0000,BR,Brazil,930000.0,EUR,False,,
