name,firstName,lastName,slug,shortName,position,jerseyNumber,height,preferredFoot,userCount,id,shirtNumber,dateOfBirthTimestamp,contractUntilTimestamp,proposedMarketValue,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.primaryUniqueTournament.name,team.primaryUniqueTournament.slug,team.primaryUniqueTournament.primaryColorHex,team.primaryUniqueTournament.secondaryColorHex,team.primaryUniqueTournament.category.name,team.primaryUniqueTournament.category.slug,team.primaryUniqueTournament.category.sport.name,team.primaryUniqueTournament.category.sport.slug,team.primaryUniqueTournament.category.sport.id,team.primaryUniqueTournament.category.id,team.primaryUniqueTournament.category.flag,team.primaryUniqueTournament.category.alpha2,team.primaryUniqueTournament.userCount,team.primaryUniqueTournament.id,team.primaryUniqueTournament.displayInverseHomeAwayTeams,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,retired,deceased,gender
Danilo Fernandes,,,danilo-fernandes,D. Fernandes,G,1,189.0,Right,135,145054,1.0,576028800.0,1703980800.0,360000.0,Bahia,bahia,Bahia,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,62440,BAH,False,False,0,1955,BR,Brazil,#ffffff,#333399,#333399,BR,Brazil,360000.0,EUR,,,
Pedro Morisco,Pedro Morisco,,pedro-morisco,Pedro Morisco,G,72,191.0,Right,16,1507616,72.0,1073692800.0,,,Coritiba,coritiba,Coritiba,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,38928,COR,False,False,0,1982,BR,Brazil,#ffffff,#009966,#009966,BR,Brazil,,,False,False,
John,,,john,John,G,25,192.0,Right,237,840103,25.0,824169600.0,1719705600.0,970000.0,Real Valladolid,real-valladolid,Real Valladolid,M,Football,football,1,LaLiga 2,laliga-2,#2f4a89,#e89823,Spain,spain,Football,football,1.0,32.0,spain,ES,59115.0,54.0,False,41729,VLL,False,False,0,2831,ES,Spain,#ffffff,#663399,#663399,BR,Brazil,970000.0,EUR,False,,
Raphael Veiga,,,raphael-veiga,Raphael Veiga,M,23,176.0,Left,7424,840020,23.0,803520000.0,1798675200.0,15300000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,15300000.0,EUR,,,
Hulk,,,hulk,Hulk,F,7,180.0,Left,9558,34705,7.0,522633600.0,1798675200.0,2200000.0,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,104112,ATL,False,False,0,1977,BR,Brazil,#000000,#ffffff,#ffffff,BR,Brazil,2200000.0,EUR,,,
Caíque,,,caique,Caíque,G,31,198.0,Right,154,839514,31.0,870307200.0,1703980800.0,280000.0,Grêmio,gremio,Grêmio,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,107182,GPA,False,False,0,5926,BR,Brazil,#3399ff,#000033,#000033,BR,Brazil,280000.0,EUR,,,
Eduardo Bauermann,,,eduardo-bauermann,E. Bauermann,D,,186.0,Both,211,358530,,824169600.0,,1500000.0,No team,no-team,No team,,Football,football,1,,,,,,,,,,,,,,,,13,NTE,True,False,0,241802,,,#d0d0d0,#000000,#000000,BR,Brazil,1500000.0,EUR,,,
Adriel,Adriel,,adriel,Adriel,G,35,195.0,Right,207,1106840,35.0,979430400.0,1719792000.0,1300000.0,Bahia,bahia,Bahia,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,62440,BAH,False,False,0,1955,BR,Brazil,#ffffff,#333399,#333399,BR,Brazil,1300000.0,EUR,,,
Léo Linck,,,leo-linck,L. Linck,G,24,194.0,Right,112,1119887,24.0,983577600.0,1735603200.0,825000.0,Athletico,athletico,Athletico,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,68818,CAP,False,False,0,1967,BR,Brazil,#000000,#cc0000,#cc0000,BR,Brazil,825000.0,EUR,False,,
Dudu,,,dudu,Dudu,M,7,167.0,Right,4022,147464,7.0,694742400.0,1769817600.0,8700000.0,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,278678.0,325.0,False,204701,PAL,False,False,0,1963,BR,Brazil,#339966,#336633,#336633,BR,Brazil,8700000.0,EUR,,,
