yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
0,8,181,10,0,100.0,0,3,4,12,0,2,80.0,92.31,0,7.55,Diego Calcaterra,diego-calcaterra,36,1086957,San Lorenzo,san-lorenzo,San Lorenzo,0,0,3201,#52b030,#52b030,#ffffff
3,15,2096,465,0,37.5,80,27,151,166,24,26,57.2,54.61,31,7.41,Rodrigo Garro,rodrigo-garro,537,994454,Talleres,talleres,Talleres,0,0,3210,#52b030,#52b030,#ffffff
3,44,1760,171,0,61.97,20,20,75,119,18,20,70.75,67.23,3,7.4,Leandro González Pírez,leandro-gonzalez-pirez,228,158259,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
0,9,1881,161,0,100.0,2,21,2,11,0,21,100.0,100.0,0,7.37,Ezequiel Unsaín,ezequiel-unsain,120,790756,Defensa y Justicia,defensa-y-justicia,Defensa y Justicia,0,0,36839,#52b030,#52b030,#ffffff
1,6,469,77,0,100.0,2,6,2,8,0,5,40.0,72.73,0,7.35,Facundo Altamirano,facundo-altamirano,66,794812,Godoy Cruz,godoy-cruz,Godoy Cruz,0,0,6074,#52b030,#52b030,#ffffff
3,2,1021,252,0,50.0,22,14,69,71,15,13,51.11,51.08,9,7.34,Matías Rojas,matias-rojas,2638,846280,Racing Club,racing-club,Racing Club,0,0,3215,#52b030,#52b030,#ffffff
2,7,1075,246,0,36.84,44,16,94,101,10,13,59.49,57.06,20,7.34,Óscar Romero,oscar-romero,927,146416,Boca Juniors,boca-juniors,Boca Juniors,0,0,3202,#52b030,#52b030,#ffffff
0,1,78,17,0,100.0,2,1,7,8,1,1,77.78,80.0,0,7.3,Germán Guiffrey,german-guiffrey,32,941090,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia y Esgrima,0,0,3205,#52b030,#52b030,#ffffff
3,8,1890,240,0,100.0,4,21,5,13,0,21,100.0,100.0,0,7.29,Sebastián Meza,sebastian-meza,159,1017440,Sarmiento,sarmiento,Sarmiento,0,0,42338,#52b030,#52b030,#ffffff
1,18,457,55,0,62.07,3,6,9,27,2,5,75.0,65.85,0,7.25,Diego Braghieri,diego-braghieri,19,174855,Lanús,lanus,Lanús,0,0,3218,#52b030,#52b030,#ffffff
0,0,180,20,0,0.0,1,2,1,1,0,2,100.0,100.0,0,7.25,Santiago Rojas,santiago-rojas,73,871581,Tigre,tigre,Tigre,0,0,7628,#52b030,#52b030,#ffffff
2,12,1096,207,0,60.0,32,17,76,88,17,15,60.8,60.69,10,7.25,Nicolás de la Cruz,nicolas-de-la-cruz,2425,877513,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
0,7,224,24,0,50.0,2,3,11,18,1,3,68.75,60.0,0,7.23,Gianluca Ferrari,gianluca-ferrari,55,945103,Godoy Cruz,godoy-cruz,Godoy Cruz,0,0,6074,#52b030,#52b030,#ffffff
4,62,2065,194,0,63.92,6,23,52,114,23,23,63.41,63.69,1,7.22,Luciano Lollo,luciano-lollo,39,249009,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes de La Plata,0,0,3206,#52b030,#52b030,#ffffff
1,20,1370,257,0,29.85,23,25,68,88,13,16,45.95,40.93,28,7.22,Lucas Beltrán,lucas-beltran,2809,962029,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
2,64,2147,464,0,56.64,22,24,91,155,24,24,62.76,60.08,9,7.22,Lucas Villalba,lucas-villalba,144,260077,Argentinos Juniors,argentinos-juniors,Argentinos Juniors,0,0,3216,#52b030,#52b030,#ffffff
3,33,1196,110,0,56.9,3,15,25,58,11,13,53.19,55.24,3,7.21,Paulo Díaz,paulo-diaz,1023,790004,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
5,9,1854,381,0,40.91,63,25,125,134,25,22,52.74,51.74,35,7.2,Nacho Fernández,nacho-fernandez,1311,340861,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
5,18,2228,507,1,36.73,59,25,183,201,34,25,53.82,51.67,39,7.2,Joaquín Pereyra,joaquin-pereyra,300,832213,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,0,0,36833,#52b030,#52b030,#ffffff
0,0,90,10,0,0.0,0,1,1,1,0,1,100.0,100.0,0,7.2,Ian Glavinovich,glavinovich-ian,25,1384966,Newell's Old Boys,newells-old-boys,Newell's Old Boys,0,0,3212,#52b030,#52b030,#ffffff
0,0,54,11,0,0.0,1,1,3,3,0,1,75.0,60.0,0,7.2,Gonzalo Gonzalez,gonzalo-gonzalez,3,1381878,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia y Esgrima,0,0,3205,#52b030,#52b030,#ffffff
10,81,1978,262,0,67.5,10,23,48,129,24,23,55.81,62.62,2,7.2,Tomás Cardona,tomas-cardona,83,849020,Defensa y Justicia,defensa-y-justicia,Defensa y Justicia,0,0,36839,#52b030,#52b030,#ffffff
1,4,2070,157,0,80.0,2,23,3,7,1,23,60.0,70.0,0,7.2,Sergio Romero,sergio-romero,2996,25566,Boca Juniors,boca-juniors,Boca Juniors,0,0,3202,#52b030,#52b030,#ffffff
3,21,1154,113,0,56.76,11,13,46,67,10,13,73.02,67.0,2,7.18,Diego Godín,diego-godin,2137,14933,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,0,0,3208,#52b030,#52b030,#ffffff
6,73,1710,174,0,76.04,5,19,44,117,13,19,64.71,71.34,1,7.18,Lautaro Giannetti,lautaro-giannetti,163,233856,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,0,0,3208,#52b030,#52b030,#ffffff
2,12,2035,435,0,31.58,20,27,113,125,29,26,48.5,46.13,38,7.18,Benjamín Rollheiser,benjamin-rollheiser,943,922454,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes de La Plata,0,0,3206,#52b030,#52b030,#ffffff
5,59,1730,324,1,63.44,33,20,94,153,32,20,61.04,61.94,1,7.18,Kevin Mac Allister,kevin-mac-allister,752,895327,Argentinos Juniors,argentinos-juniors,Argentinos Juniors,0,0,3216,#52b030,#52b030,#ffffff
1,2,1170,63,0,100.0,1,13,3,5,0,13,100.0,100.0,0,7.18,Alexis Martín Arias,alexis-martin-arias,68,340849,Argentinos Juniors,argentinos-juniors,Argentinos Juniors,0,0,3216,#52b030,#52b030,#ffffff
5,54,1791,225,0,42.52,23,21,57,111,33,20,38.26,40.22,27,7.16,Mateo Retegui,mateo-retegui,3622,914501,Tigre,tigre,Tigre,0,0,7628,#52b030,#52b030,#ffffff
