goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
0,0.0,0,0,0,0,0.05,2,0.0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0.0,7.55,Diego Calcaterra,diego-calcaterra,36,1086957,San Lorenzo,san-lorenzo,San Lorenzo,0,0,3201,#52b030,#52b030,#ffffff
5,62.86,11,0,4,0,2.28,48,10.42,12,0,1,1,14,0,2,5,0.0,44,23,0,1,0,16.67,7.41,Rodrigo Garro,rodrigo-garro,537,994454,Talleres,talleres,Talleres,0,0,3210,#52b030,#52b030,#ffffff
1,100.0,0,0,0,0,1.08,7,14.29,0,1,0,0,3,0,0,0,0.0,17,4,0,1,0,0.0,7.4,Leandro González Pírez,leandro-gonzalez-pirez,228,158259,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.37,Ezequiel Unsaín,ezequiel-unsain,120,790756,Defensa y Justicia,defensa-y-justicia,Defensa y Justicia,0,0,36839,#52b030,#52b030,#ffffff
0,50.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.35,Facundo Altamirano,facundo-altamirano,66,794812,Godoy Cruz,godoy-cruz,Godoy Cruz,0,0,6074,#52b030,#52b030,#ffffff
6,45.61,9,1,4,2,4.03,42,14.29,17,0,3,2,24,3,1,6,66.67,26,9,2,2,0,5.88,7.34,Matías Rojas,matias-rojas,2638,846280,Racing Club,racing-club,Racing Club,0,0,3215,#52b030,#52b030,#ffffff
2,66.67,12,0,1,2,1.81,39,5.13,12,0,0,0,12,0,0,1,0.0,32,15,0,1,1,0.0,7.34,Óscar Romero,oscar-romero,927,146416,Boca Juniors,boca-juniors,Boca Juniors,0,0,3202,#52b030,#52b030,#ffffff
0,50.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.3,Germán Guiffrey,german-guiffrey,32,941090,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia y Esgrima,0,0,3205,#52b030,#52b030,#ffffff
0,100.0,0,0,0,0,0.02,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.29,Sebastián Meza,sebastian-meza,159,1017440,Sarmiento,sarmiento,Sarmiento,0,0,42338,#52b030,#52b030,#ffffff
1,100.0,1,0,0,0,0.65,2,50.0,0,0,0,0,1,0,0,0,0.0,1,0,0,1,1,0.0,7.25,Diego Braghieri,diego-braghieri,19,174855,Lanús,lanus,Lanús,0,0,3218,#52b030,#52b030,#ffffff
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.25,Santiago Rojas,santiago-rojas,73,871581,Tigre,tigre,Tigre,0,0,7628,#52b030,#52b030,#ffffff
4,66.67,9,0,1,1,2.59,39,10.26,7,0,2,2,14,0,1,1,0.0,16,16,0,3,3,14.29,7.25,Nicolás de la Cruz,nicolas-de-la-cruz,2425,877513,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
0,50.0,1,0,0,0,0.13,1,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.23,Gianluca Ferrari,gianluca-ferrari,55,945103,Godoy Cruz,godoy-cruz,Godoy Cruz,0,0,6074,#52b030,#52b030,#ffffff
3,100.0,7,0,0,1,1.11,18,16.67,0,3,0,1,5,0,0,0,0.0,5,6,0,3,0,0.0,7.22,Luciano Lollo,luciano-lollo,39,249009,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes de La Plata,0,0,3206,#52b030,#52b030,#ffffff
12,50.0,7,0,1,0,7.91,47,25.53,0,1,6,4,25,3,0,2,100.0,28,15,3,11,9,0.0,7.22,Lucas Beltrán,lucas-beltran,2809,962029,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
