bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
0,36,1,5,0,77.78,0,45.45,28,24,0,0,8,4,0.0,7.55,Diego Calcaterra,diego-calcaterra,36,1086957,San Lorenzo,san-lorenzo,San Lorenzo,0,0,3201,#52b030,#52b030,#ffffff
14,1042,263,81,6,74.76,70,53.64,779,266,54,2,263,567,42.52,7.41,Rodrigo Garro,rodrigo-garro,537,994454,Talleres,talleres,Talleres,0,0,3210,#52b030,#52b030,#ffffff
1,1168,46,92,1,87.07,2,60.53,1017,729,0,0,151,288,0.0,7.4,Leandro González Pírez,leandro-gonzalez-pirez,228,158259,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
0,727,23,142,0,78.54,2,47.65,571,506,0,0,156,65,0.0,7.37,Ezequiel Unsaín,ezequiel-unsain,120,790756,Defensa y Justicia,defensa-y-justicia,Defensa y Justicia,0,0,36839,#52b030,#52b030,#ffffff
0,124,11,32,0,40.32,0,30.48,50,26,0,0,74,24,0.0,7.35,Facundo Altamirano,facundo-altamirano,66,794812,Godoy Cruz,godoy-cruz,Godoy Cruz,0,0,6074,#52b030,#52b030,#ffffff
3,452,132,34,1,73.89,23,60.71,334,103,18,0,118,249,26.87,7.34,Matías Rojas,matias-rojas,2638,846280,Racing Club,racing-club,Racing Club,0,0,3215,#52b030,#52b030,#ffffff
3,735,200,53,3,82.59,26,61.63,607,174,20,0,128,453,29.41,7.34,Óscar Romero,oscar-romero,927,146416,Boca Juniors,boca-juniors,Boca Juniors,0,0,3202,#52b030,#52b030,#ffffff
0,27,6,5,0,55.56,0,62.5,15,1,2,0,12,16,66.67,7.3,Germán Guiffrey,german-guiffrey,32,941090,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia y Esgrima,0,0,3205,#52b030,#52b030,#ffffff
0,458,55,173,0,48.47,1,42.3,222,71,0,0,236,151,0.0,7.29,Sebastián Meza,sebastian-meza,159,1017440,Sarmiento,sarmiento,Sarmiento,0,0,42338,#52b030,#52b030,#ffffff
0,199,9,14,0,73.37,0,33.33,146,109,0,0,53,37,0.0,7.25,Diego Braghieri,diego-braghieri,19,174855,Lanús,lanus,Lanús,0,0,3218,#52b030,#52b030,#ffffff
0,42,4,15,0,52.38,0,42.86,22,13,0,0,20,9,0.0,7.25,Santiago Rojas,santiago-rojas,73,871581,Tigre,tigre,Tigre,0,0,7628,#52b030,#52b030,#ffffff
2,785,233,29,0,83.57,25,63.04,656,228,14,0,129,442,28.57,7.25,Nicolás de la Cruz,nicolas-de-la-cruz,2425,877513,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
1,76,2,12,1,73.68,1,52.17,56,51,0,0,20,5,0.0,7.23,Gianluca Ferrari,gianluca-ferrari,55,945103,Godoy Cruz,godoy-cruz,Godoy Cruz,0,0,6074,#52b030,#52b030,#ffffff
0,1001,62,100,0,81.82,4,52.91,819,532,2,0,182,289,100.0,7.22,Luciano Lollo,luciano-lollo,39,249009,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes de La Plata,0,0,3206,#52b030,#52b030,#ffffff
6,456,153,2,3,72.37,36,28.57,330,86,3,0,126,247,25.0,7.22,Lucas Beltrán,lucas-beltran,2809,962029,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
2,1715,232,206,1,77.73,10,51.12,1333,784,14,0,382,563,31.11,7.22,Lucas Villalba,lucas-villalba,144,260077,Argentinos Juniors,argentinos-juniors,Argentinos Juniors,0,0,3216,#52b030,#52b030,#ffffff
0,946,74,103,0,90.38,5,74.1,855,586,1,0,91,270,33.33,7.21,Paulo Díaz,paulo-diaz,1023,790004,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
