tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
4,0,1,1,0,0,0,12,1,7.55,Diego Calcaterra,diego-calcaterra,36,1086957,San Lorenzo,san-lorenzo,San Lorenzo,0,0,3201,#52b030,#52b030,#ffffff
27,0,0,15,0,1,0,5,34,7.41,Rodrigo Garro,rodrigo-garro,537,994454,Talleres,talleres,Talleres,0,0,3210,#52b030,#52b030,#ffffff
38,0,13,41,0,0,0,94,11,7.4,Leandro González Pírez,leandro-gonzalez-pirez,228,158259,River Plate,river-plate,River Plate,0,0,3211,#52b030,#52b030,#ffffff
0,0,12,1,0,0,0,15,0,7.37,Ezequiel Unsaín,ezequiel-unsain,120,790756,Defensa y Justicia,defensa-y-justicia,Defensa y Justicia,0,0,36839,#52b030,#52b030,#ffffff
0,0,3,0,0,0,0,4,2,7.35,Facundo Altamirano,facundo-altamirano,66,794812,Godoy Cruz,godoy-cruz,Godoy Cruz,0,0,6074,#52b030,#52b030,#ffffff
21,0,0,2,0,0,0,0,11,7.34,Matías Rojas,matias-rojas,2638,846280,Racing Club,racing-club,Racing Club,0,0,3215,#52b030,#52b030,#ffffff
18,0,0,7,0,0,0,4,18,7.34,Óscar Romero,oscar-romero,927,146416,Boca Juniors,boca-juniors,Boca Juniors,0,0,3202,#52b030,#52b030,#ffffff
4,0,0,1,0,0,0,0,0,7.3,Germán Guiffrey,german-guiffrey,32,941090,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia y Esgrima,0,0,3205,#52b030,#52b030,#ffffff
0,1,10,0,0,0,0,11,0,7.29,Sebastián Meza,sebastian-meza,159,1017440,Sarmiento,sarmiento,Sarmiento,0,0,42338,#52b030,#52b030,#ffffff
5,0,3,4,0,0,0,36,1,7.25,Diego Braghieri,diego-braghieri,19,174855,Lanús,lanus,Lanús,0,0,3218,#52b030,#52b030,#ffffff
0,0,1,0,0,0,0,2,0,7.25,Santiago Rojas,santiago-rojas,73,871581,Tigre,tigre,Tigre,0,0,7628,#52b030,#52b030,#ffffff
