name,slug,shortName,gender,userCount,nameCode,disabled,national,type,id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,primaryUniqueTournament.name,primaryUniqueTournament.slug,primaryUniqueTournament.primaryColorHex,primaryUniqueTournament.secondaryColorHex,primaryUniqueTournament.category.name,primaryUniqueTournament.category.slug,primaryUniqueTournament.category.sport.name,primaryUniqueTournament.category.sport.slug,primaryUniqueTournament.category.sport.id,primaryUniqueTournament.category.id,primaryUniqueTournament.category.flag,primaryUniqueTournament.category.alpha2,primaryUniqueTournament.userCount,primaryUniqueTournament.hasPerformanceGraphFeature,primaryUniqueTournament.id,primaryUniqueTournament.displayInverseHomeAwayTeams,manager.name,manager.slug,manager.shortName,manager.id,manager.country.alpha2,manager.country.name,venue.city.name,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text
Bahia,bahia,Bahia,M,62440,BAH,False,False,0,1955,Bahia,-1230768000,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Rogério Ceni,rogerio-ceni,R. Ceni,787735,BR,Brazil,Salvador,Arena Fonte Nova,51614,11969,BR,Brazil,BR,Brazil,#ffffff,#333399,#333399
Coritiba,coritiba,Coritiba,M,38928,COR,False,False,0,1982,Coritiba,-1900454400,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série B,brasileirao-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série B,brasileirao-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84594,True,390,False,288,1449,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Guilherme Dalzotto Bossle,guilherme-dalzotto-bossle,G. D. Bossle,803010,BR,Brazil,Curitiba,Estádio Couto Pereira,40502,1304,BR,Brazil,BR,Brazil,#ffffff,#009966,#009966
Internacional,internacional,Internacional,M,90636,INT,False,False,0,1966,Internacional,-1916956800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Eduardo Coudet,eduardo-coudet,E. Coudet,784639,AR,Argentina,Porto Alegre,Estadio Beira-Rio,50842,3423,BR,Brazil,BR,Brazil,#cc0000,#cc0000,#cc0000
Palmeiras,palmeiras,Palmeiras,M,204701,PAL,False,False,0,1963,Palmeiras,-1746748800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Abel Ferreira,abel-ferreira,A. Ferreira,784709,PT,Portugal,Sao Paulo,Allianz Parque,45000,15699,BR,Brazil,BR,Brazil,#339966,#336633,#336633
Atlético Mineiro,atletico-mineiro,Atlético-MG,M,104112,ATL,False,False,0,1977,Atlético Mineiro,-1949356800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Luiz Felipe Scolari,luiz-felipe-scolari,L. F. Scolari,53251,BR,Brazil,Belo Horizonte,Arena MRV,43000,987,BR,Brazil,BR,Brazil,#000000,#ffffff,#ffffff
Grêmio,gremio,Grêmio,M,107182,GPA,False,False,0,5926,Grêmio,-2092176000,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Renato Gaúcho,renato-gaucho,R. Gaúcho,787598,BR,Brazil,Porto Alegre,Arena do Grêmio,60540,11308,BR,Brazil,BR,Brazil,#3399ff,#000033,#000033
Santos,santos,Santos,M,87820,SAN,False,False,0,1968,Santos,-1821398400,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Marcelo Fernandes,marcelo-fernandes,M. Fernandes,784878,BR,Brazil,Santos,Urbano Caldeira,16798,810,BR,Brazil,BR,Brazil,#ffffff,#ffffff,#ffffff
Athletico,athletico,Athletico,M,68818,CAP,False,False,0,1967,Athletico,-1444348800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Wesley Carvalho,wesley-carvalho,Wesley Carvalho,797581,BR,Brazil,Curitiba,Ligga Arena,43000,1129,BR,Brazil,BR,Brazil,#000000,#cc0000,#cc0000
Botafogo,botafogo,Botafogo,M,100509,BOT,False,False,0,1958,Botafogo,-2382652800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série B,brasileirao-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série B,brasileirao-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84594,True,390,False,288,1449,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Tiago Nunes,tiago-nunes,T. Nunes,790357,BR,Brazil,Rio de Janeiro,Estádio Nilton Santos,46831,13224,BR,Brazil,BR,Brazil,#000000,#ffffff,#ffffff
Flamengo,flamengo,Flamengo,M,296415,FLA,False,False,0,5981,Flamengo,-2339280000,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,439,83,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,278678,True,325,False,Tite,tite,Tite,784663,BR,Brazil,Rio de Janeiro,Estádio do Maracanã,78838,686,BR,Brazil,BR,Brazil,#ff0000,#000000,#000000
